590,168,191,404
588,170,191,400
586,171,191,397
585,173,191,396
583,175,192,396
581,176,192,395
579,181,192,386
578,190,192,372
576,191,198,380
574,194,197,372
572,198,197,363
571,201,197,355
569,202,196,348
567,203,196,342
565,202,196,344
564,202,199,338
562,202,202,332
560,202,198,325
557,202,196,317
555,201,194,309
555,201,194,309
546,198,196,306
537,195,198,304
534,195,202,298
524,196,208,293
521,194,207,289
520,192,206,289
518,191,206,289
516,189,206,289
517,188,205,289
518,186,204,287
519,184,203,284
520,182,202,283
521,182,201,283
522,182,201,283
523,182,201,282
524,181,200,283
525,180,200,283
526,179,200,284
527,178,200,284
521,179,207,271
522,180,206,269
523,181,205,268
524,181,204,266
525,182,204,265
526,183,203,263
528,184,202,262
529,185,201,260
530,186,200,259
531,187,200,257
532,187,199,256
533,188,198,254
534,189,197,253
536,190,196,251
537,191,196,249
535,189,199,251
533,188,202,253
532,188,203,253
532,188,204,253
531,188,205,253
532,189,200,252
534,190,194,251
535,191,195,250
536,191,195,250
537,191,195,250
539,191,195,249
540,191,195,249
541,191,195,248
543,191,195,248
544,191,195,248
545,191,195,247
547,193,195,245
550,195,194,244
552,197,193,242
554,200,193,241
556,202,192,239
558,204,191,237
560,206,190,236
562,209,190,234
565,211,189,232
567,213,188,231
568,213,188,230
570,213,188,229
572,213,187,228
573,214,187,227
575,214,187,226
577,214,187,225
578,214,186,224
580,214,186,223
582,214,186,222
583,214,186,221
585,214,185,220
586,215,183,218
586,215,180,216
587,216,177,214
587,217,175,213
588,217,172,211
586,219,173,210
584,222,175,209
582,224,176,208
580,226,177,207
578,228,178,206
578,230,175,205
578,232,172,204
578,234,170,203
578,237,170,200
578,239,171,198
579,241,171,196
579,240,171,196
579,239,171,196
579,239,171,196
580,238,170,195
579,236,175,194
578,234,180,192
579,234,178,191
580,235,177,190
580,236,176,189
581,236,175,188
584,238,176,187
587,240,177,187
590,242,178,186
593,244,178,186
596,245,179,185
599,247,182,184
602,249,186,184
605,251,189,183
608,253,192,182
611,255,195,182
614,256,198,181
617,258,202,181
620,260,205,180
617,264,210,179
615,267,215,179
612,271,220,178
609,274,225,178
606,278,230,177
603,282,235,176
600,285,240,176
597,289,245,175
595,292,250,171
592,296,255,168
587,292,264,175
585,291,267,171
582,292,267,167
576,293,275,162
569,295,282,158
572,291,277,163
561,288,286,160
550,284,296,175
538,285,305,167
527,289,314,170
516,285,323,178
511,282,326,188
506,279,329,197
492,267,342,215
477,254,354,233
463,241,366,250
449,229,378,258
445,229,389,263
424,229,381,225
403,229,373,194
382,230,365,181
353,230,352,176
322,230,347,180
327,230,337,181
302,230,331,178
278,231,326,176
262,231,315,172
257,235,304,168
242,244,293,160
241,249,292,157
250,253,267,150
247,258,260,148
258,262,246,144
269,267,231,141
277,270,224,139
285,274,217,136
298,279,206,132
310,284,195,127
322,289,184,123
335,294,173,119
515,313,174,219
515,309,179,221
514,306,184,223
514,302,189,226
513,299,194,228
513,295,199,230
514,292,200,232
516,288,200,235
517,285,205,237
518,281,210,239
520,278,215,242
517,275,219,241
515,272,223,240
512,270,227,239
509,267,231,238
507,264,236,237
504,262,240,237
502,259,244,236
499,256,248,235
497,254,252,234
494,251,256,233
491,251,260,232
488,251,263,231
485,251,266,229
483,251,269,228
480,251,272,226
477,251,275,225
474,251,278,224
471,251,281,222
468,251,285,221
466,251,288,220
468,250,288,218
471,250,287,216
474,249,287,214
476,249,287,213
479,248,287,211
482,248,287,209
484,247,286,207
487,246,286,206
490,246,286,204
492,245,286,202
495,248,282,195
497,251,279,189
500,253,275,182
502,256,272,176
505,259,268,169
507,261,264,162
510,264,261,156
512,267,257,149
515,269,254,142
517,272,250,136
520,274,246,132
522,277,242,127
524,279,238,123
528,281,235,119
533,284,232,115
546,286,225,111
551,288,221,104
556,290,217,97
561,293,213,90
566,295,209,83
569,298,204,80
572,300,200,77
574,303,196,75
577,305,191,72
578,308,186,70
579,310,181,68
580,313,176,66
581,316,172,64
582,318,164,67
583,321,156,70
581,322,156,73
580,323,155,76
578,324,155,78
577,326,154,81
576,327,154,86
574,328,153,92
573,329,153,97
571,330,152,103
570,332,152,108
569,333,152,116
571,333,145,118
574,334,138,120
576,334,132,122
579,335,125,124
581,335,119,127
575,340,121,115
569,345,123,104
568,347,120,96
567,348,117,88
567,350,113,81
568,350,111,79
569,350,109,76
570,350,107,74
571,349,106,72
572,349,104,70
573,349,102,68
575,349,100,71
579,352,96,66
583,354,91,62
584,355,93,58
587,355,89,57
589,356,86,56
591,356,83,55
593,357,80,54
595,357,77,53
597,358,74,52
598,357,72,52
599,356,70,52
600,356,68,52
601,355,66,52
601,353,65,51
602,352,64,50
602,350,63,50
602,349,61,49
602,347,59,48
603,345,56,47
603,344,54,46
603,342,52,46
604,341,50,45
604,339,47,44
604,339,47,42
604,339,47,40
447,0,381,293
479,0,324,284
511,0,267,274
511,0,278,281
490,0,317,296
470,0,356,311
435,0,387,364
415,0,398,426
406,22,402,437
406,44,385,442
406,51,382,456
406,58,380,470
406,76,393,463
